
	     TANUM	TAPOS	VLTYP	VLENR	NLTYP	NLENR	       CONFIRMED_AT

	7000000000	 0001			LMWE	00000000000014262993	20.151.201.100.131
	7000000000	 0002			LMWE	00000000000014262994	20.151.201.100.131
	7000000000	 0003			LMWE	00000000000014262995	20.151.201.100.131
	7000000000	 0004			LMWE	00000000000014262996	20.151.201.100.131
	7000000000	 0005			LMWE	00000000000014262997	20.151.201.100.131
	7000000000	 0006			LMWE	00000000000014262998	20.151.201.100.131
	7000000000	 0007			LMWE	00000000000014262999	20.151.201.100.131
	7000000000	 0008			LMWE	00000000000014263100	20.151.201.100.131
	7000000000	 0009			LMWE	00000000000014263101	20.151.201.100.131
	7000000000	 0010			LMWE	00000000000014263102	20.151.201.100.131
	7000000000	 0011			LMWE	00000000000014263103	20.151.201.100.131
	7000000000	 0012			LMWE	00000000000014263104	20.151.201.100.131
	7000000000	 0013			LMWE	00000000000014263105	20.151.201.100.131
	7000000000	 0014			LMWE	00000000000014263106	20.151.201.100.131
	7000000000	 0015			LMWE	00000000000014263107	20.151.201.100.131
	7000000000	 0016			LMWE	00000000000014263108	20.151.201.100.131
	7000000000	 0017			LMWE	00000000000014263109	20.151.201.100.131
	7000000000	 0018			LMWE	00000000000014263110	20.151.201.100.131
	7000000000	 0019			LMWE	00000000000014263111	20.151.201.100.131
	7000000001	 0001			LMWE	00000000000014262935	20.151.201.100.627
	7000000001	 0002			LMWE	00000000000014262936	20.151.201.100.627
	7000000001	 0003			LMWE	00000000000014262937	20.151.201.100.627
	7000000001	 0004			LMWE	00000000000014262938	20.151.201.100.627
	7000000001	 0005			LMWE	00000000000014262939	20.151.201.100.627
	7000000001	 0006			LMWE	00000000000014262940	20.151.201.100.627
	7000000001	 0007			LMWE	00000000000014262941	20.151.201.100.627
	7000000001	 0008			LMWE	00000000000014262942	20.151.201.100.627
	7000000001	 0009			LMWE	00000000000014262943	20.151.201.100.627
	7000000001	 0010			LMWE	00000000000014262944	20.151.201.100.627
	7000000001	 0011			LMWE	00000000000014262945	20.151.201.100.627
	7000000001	 0012			LMWE	00000000000014262946	20.151.201.100.627
	7000000001	 0013			LMWE	00000000000014262947	20.151.201.100.627
	7000000001	 0014			LMWE	00000000000014262948	20.151.201.100.627
	7000000001	 0015			LMWE	00000000000014262949	20.151.201.100.627
	7000000002	 0001			LMWE	00000000000014263119	20.151.201.100.655
	7000000002	 0002			LMWE	00000000000014263120	20.151.201.100.655
	7000000003	 0001			LMWE	00000000000014263124	20.151.201.100.723
	7000000003	 0002			LMWE	00000000000014263125	20.151.201.100.723
	7000000003	 0003			LMWE	00000000000014263126	20.151.201.100.723
	7000000004	 0001			LMWE	00000000000014263129	20.151.201.100.750
	7000000004	 0002			LMWE	00000000000014263130	20.151.201.100.750
	7000000005	 0001			LMWE	00000000000014263134	20.151.201.100.815
	7000000005	 0002			LMWE	00000000000014263135	20.151.201.100.816
	7000000005	 0003			LMWE	00000000000014263136	20.151.201.100.816
	7000000006	 0001			LMWE	00000000000014262353	20.151.201.111.047
	7000000006	 0002			LMWE	00000000000014262354	20.151.201.111.047
	7000000006	 0003			LMWE	00000000000014262355	20.151.201.111.047
	7000000006	 0004			LMWE	00000000000014262356	20.151.201.111.047
	7000000006	 0005			LMWE	00000000000014262357	20.151.201.111.047
	7000000006	 0006			LMWE	00000000000014262358	20.151.201.111.047
	7000000006	 0007			LMWE	00000000000014262359	20.151.201.111.047
	7000000006	 0008			LMWE	00000000000014262360	20.151.201.111.047
	7000000006	 0009			LMWE	00000000000014262361	20.151.201.111.047
	7000000006	 0010			LMWE	00000000000014262362	20.151.201.111.047
	7000000006	 0011			LMWE	00000000000014262363	20.151.201.111.047
	7000000006	 0012			LMWE	00000000000014262364	20.151.201.111.047
	7000000006	 0013			LMWE	00000000000014262365	20.151.201.111.047
	7000000006	 0014			LMWE	00000000000014262366	20.151.201.111.047
	7000000006	 0015			LMWE	00000000000014262367	20.151.201.111.047
	7000000006	 0016			LMWE	00000000000014262368	20.151.201.111.047
	7000000006	 0017			LMWE	00000000000014262369	20.151.201.111.047
	7000000006	 0018			LMWE	00000000000014262370	20.151.201.111.047
	7000000007	 0001			LMWE	00000000000014260702	20.151.201.135.909
	7000000007	 0002			LMWE	00000000000014260703	20.151.201.135.909
	7000000007	 0003			LMWE	00000000000014260704	20.151.201.135.909
	7000000007	 0004			LMWE	00000000000014260705	20.151.201.135.909
	7000000007	 0005			LMWE	00000000000014260706	20.151.201.135.909
	7000000007	 0006			LMWE	00000000000014260707	20.151.201.135.909
	7000000007	 0007			LMWE	00000000000014260708	20.151.201.135.909
	7000000007	 0008			LMWE	00000000000014260709	20.151.201.135.909
	7000000007	 0009			LMWE	00000000000014260710	20.151.201.135.909
	7000000007	 0010			LMWE	00000000000014260711	20.151.201.135.909
	7000000007	 0011			LMWE	00000000000014260712	20.151.201.135.909
	7000000007	 0012			LMWE	00000000000014260713	20.151.201.135.909
	7000000007	 0013			LMWE	00000000000014260714	20.151.201.135.909
	7000000007	 0014			LMWE	00000000000014260715	20.151.201.135.909
	7000000007	 0015			LMWE	00000000000014260716	20.151.201.135.909
	7000000007	 0016			LMWE	00000000000014260717	20.151.201.135.909
	7000000007	 0017			LMWE	00000000000014260718	20.151.201.135.909
	7000000007	 0018			LMWE	00000000000014260719	20.151.201.135.909
	7000000007	 0019			LMWE	00000000000014260720	20.151.201.135.909
	7000000007	 0020			LMWE	00000000000014260721	20.151.201.135.909
	7000000007	 0021			LMWE	00000000000014260722	20.151.201.135.909
	7000000007	 0022			LMWE	00000000000014260723	20.151.201.135.909
	7000000007	 0023			LMWE	00000000000014260724	20.151.201.135.909
	7000000007	 0024			LMWE	00000000000014260725	20.151.201.135.909
	7000000007	 0025			LMWE	00000000000014260726	20.151.201.135.909
	7000000007	 0026			LMWE	00000000000014260727	20.151.201.135.909
	7000000007	 0027			LMWE	00000000000014260728	20.151.201.135.909
	7000000007	 0028			LMWE	00000000000014260729	20.151.201.135.909
	7000000007	 0029			LMWE	00000000000014260730	20.151.201.135.909
	7000000007	 0030			LMWE	00000000000014260731	20.151.201.135.909
	7000000007	 0031			LMWE	00000000000014260732	20.151.201.135.909
	7000000007	 0032			LMWE	00000000000014260733	20.151.201.135.909
	7000000007	 0033			LMWE	00000000000014260734	20.151.201.135.909
	7000000007	 0034			LMWE	00000000000014260735	20.151.201.135.909
	7000000008	 0001			LMWE	00000000000014260405	20.151.201.145.742
	7000000008	 0002			LMWE	00000000000014260406	20.151.201.145.742
	7000000008	 0003			LMWE	00000000000014260407	20.151.201.145.742
	7000000008	 0004			LMWE	00000000000014260408	20.151.201.145.742
	7000000008	 0005			LMWE	00000000000014260409	20.151.201.145.742
	7000000008	 0006			LMWE	00000000000014260410	20.151.201.145.742
	7000000008	 0007			LMWE	00000000000014260411	20.151.201.145.742
	7000000008	 0008			LMWE	00000000000014260412	20.151.201.145.742
	7000000008	 0009			LMWE	00000000000014260413	20.151.201.145.742
	7000000008	 0010			LMWE	00000000000014260414	20.151.201.145.742
	7000000008	 0011			LMWE	00000000000014260415	20.151.201.145.742
	7000000008	 0012			LMWE	00000000000014260416	20.151.201.145.742
	7000000008	 0013			LMWE	00000000000014260417	20.151.201.145.742
	7000000008	 0014			LMWE	00000000000014260418	20.151.201.145.742
	7000000008	 0015			LMWE	00000000000014260419	20.151.201.145.742
	7000000008	 0016			LMWE	00000000000014260420	20.151.201.145.742
	7000000008	 0017			LMWE	00000000000014260421	20.151.201.145.742
	7000000008	 0018			LMWE	00000000000014260422	20.151.201.145.742
	7000000008	 0019			LMWE	00000000000014260423	20.151.201.145.742
	7000000008	 0020			LMWE	00000000000014260424	20.151.201.145.742
	7000000008	 0021			LMWE	00000000000014260425	20.151.201.145.742
	7000000008	 0022			LMWE	00000000000014260426	20.151.201.145.742
	7000000008	 0023			LMWE	00000000000014260427	20.151.201.145.742
	7000000008	 0024			LMWE	00000000000014260428	20.151.201.145.742
	7000000008	 0025			LMWE	00000000000014260429	20.151.201.145.742
	7000000008	 0026			LMWE	00000000000014260430	20.151.201.145.742
	7000000008	 0027			LMWE	00000000000014260431	20.151.201.145.742
	7000000008	 0028			LMWE	00000000000014260432	20.151.201.145.742
	7000000008	 0029			LMWE	00000000000014260433	20.151.201.145.742
	7000000008	 0030			LMWE	00000000000014260434	20.151.201.145.742
	7000000008	 0031			LMWE	00000000000014260435	20.151.201.145.742
	7000000008	 0032			LMWE	00000000000014260436	20.151.201.145.742
	7000000008	 0033			LMWE	00000000000014260437	20.151.201.145.742
	7000000008	 0034			LMWE	00000000000014260438	20.151.201.145.742
	7000000008	 0035			LMWE	00000000000014260439	20.151.201.145.742
	7000000008	 0036			LMWE	00000000000014260440	20.151.201.145.742
	7000000008	 0037			LMWE	00000000000014260441	20.151.201.145.742
	7000000008	 0038			LMWE	00000000000014260442	20.151.201.145.742
	7000000008	 0039			LMWE	00000000000014260443	20.151.201.145.742
	7000000010	 0001		00000000001000000122			20.151.201.205.109
	7000000010	 0002		00000000001000000126			20.151.201.205.109
	7000000010	 0003		00000000001000000129			20.151.201.205.109
	7000000010	 0004		00000000001000000130			20.151.201.205.109
	7000000010	 0005		00000000001000000131			20.151.201.205.109
	7000000010	 0006		00000000001000000132			20.151.201.205.109
	7000000010	 0007		00000000001000000133			20.151.201.205.109
	7000000010	 0008		00000000001000000134			20.151.201.205.109
	7000000010	 0009		00000000001000000136			20.151.201.205.109
	7000000010	 0010		00000000001000000138			20.151.201.205.109
	7000000010	 0011		00000000001000000142			20.151.201.205.109
	7000000011	 0001		00000000001000000125			20.151.201.210.449
	7000000011	 0002		00000000001000000127			20.151.201.210.449
	7000000011	 0003		00000000001000000135			20.151.201.210.449
	7000000011	 0004		00000000001000000139			20.151.201.210.449
	7000000011	 0005		00000000001000000141			20.151.201.210.449
	7000000012	 0001	LMWE	00000000000014260273			20.151.201.210.500
	7000000012	 0002	LMWE	00000000000014260274			20.151.201.210.500
	7000000012	 0003	LMWE	00000000000014260275			20.151.201.210.500
	7000000012	 0004	LMWE	00000000000014260276			20.151.201.210.500
	7000000012	 0005	LMWE	00000000000014260277			20.151.201.210.500
	7000000012	 0006	LMWE	00000000000014260278			20.151.201.210.500
	7000000012	 0007	LMWE	00000000000014260279			20.151.201.210.500
	7000000012	 0008	LMWE	00000000000014260280			20.151.201.210.500
	7000000012	 0009	LMWE	00000000000014260281			20.151.201.210.500
	7000000012	 0010	LMWE	00000000000014260282			20.151.201.210.500
	7000000012	 0011	LMWE	00000000000014260283			20.151.201.210.500
