
	AME	Charge	...CONF_BY	   Quittierung	0WM_COO	   0WM_CREA_AT	Belegtyp	0WM_DRSRC	Int. Nach-TE	...FLGHUTO	0WM_HUENT	...INDOCNO	Prüfart	0WM_LETYP	0WM_MATNR	...MAT_GRP	0WM_MEINS	0WM_NLBER	Nach-Handling-Unit	0WM_NLPLA	0WM_NLTYP	0WM_NPTYP	0WM_PRCES	0WM_PRIO	Prozess	0WM_PROCTY	...PTWYINV	Belegtyp	0WM_QDOCNO	Queue	...RDOCCAT	Belegnummer der Belegreferenz	Grund	0WM_REFDAT	0WM_REFTIM	0WM_RITMNO	Sicht	0WM_SRSRC	...SSTROLE	  Anfangsdatum	Von-TE	0WM_ST_USE	0WM_TOSTAT	0WM_TRART	...TSTROLE	0WM_UNIT_T	0WM_UNIT_V	0WM_UNIT_W	0WM_VALUOM	0WM_VAS	...VFDA_TS	0WM_VLBER	Von-Handling-Unit	0WM_VLPLA	0WM_VLTYP	0WM_VPTYP	Welle	...WAVE_IT	  Wareneingang	   0WM_WHO	0WM_LGNUM	 0WM_TANUM	0WM_TAPOS	...WTSUBIT	0WM_CAPA	Zähler	0WM_DMENA	0WM_DMENG	0WM_KQUAN	0WM_NISTA	Istmenge	0WM_PLDUR	0WM_VALQTY	Volumen	0WM_VSOLA	0WM_VSOLM	   Gewicht

	ST		T03564	20151111084339	DE	20151111084338		GECZYLA		X				G18	06K103403S	A_001	ST		00000000000013939028							1012		PDI		WELOC2	PDI			11.11.2015	09:43:39				D	20151111084339			C	1		S	M3	KG			0000000000	0004	00000000000013939028	LMWELKWL04	LMWE				20151111081645	2000000113	LOCM	1000000113	        1	         1	  0,000	1,000	       0	       0	       0	      60	     60	       0		 1,918	      60	      60	1.093,100
	ST		T03564	20151111084755	DE	20151111084754		GECZYLA		X				G18	06K103403S	A_001	ST		00000000000013939027							1012		PDI		WELOC2	PDI			11.11.2015	09:47:55				D	20151111084755			C	1		S	M3	KG			0000000000	0004	00000000000013939027	LMWELKWL04	LMWE				20151111081645	2000000120	LOCM	1000000118	        1	         1	  0,000	1,000	       0	       0	       0	      60	     60	       0		 1,918	      60	      60	1.093,100
	ST		T03564	20151111090912	DE	20151111090912		GECZYLA		X				S15	04L105266B	A_001	ST		00000000000013939067							1012		PDI		WELOC2				11.11.2015	10:09:12				D	20151111090912			C	1		S	M3	KG			0000000000	0005	00000000000013939067	LMWELKWL05	LMWE				20151111085409	2000000132	LOCM	1000000134	        1	         1	  0,000	1,000	       0	       0	       0	      64	     64	       0		 2,442	      64	      64	  957,360
	ST		T03564	20151111091215	DE	20151111091215		GECZYLA		X				S15	04L105266B	A_001	ST		00000000000013939070							1012		PDI		WELOC2				11.11.2015	10:12:15				D	20151111091215			C	1		S	M3	KG			0000000000	0005	00000000000013939070	LMWELKWL05	LMWE				20151111085409	2000000135	LOCM	1000000137	        1	         1	  0,000	1,000	       0	       0	       0	      64	     64	       0		 2,442	      64	      64	  957,360
	ST		T03564	20151111084816	DE	20151111081647				X				G18	06K103403S	A_001	ST	PLLG	00000000000013939027	LP10R02501	GLMP	PLGR	ZIB1		PUT	1010		PDI		WELOC2	PDI			11.11.2015	09:48:16			GECZYLA		20151111084755			C	1		S	M3	KG			0000000000		00000000000013939027						20151111081645	2000000120	LOCM	1000000023	        1	         1	  0,000	1,000	       0	       0	       0	      60	     60	       0		 1,918	      60	      60	1.093,100
	ST		T03564	20151111084344	DE	20151111081647				X				G18	06K103403S	A_001	ST	PLLG	00000000000013939028	LP10R02501	GLMP	PLGR	ZIB1		PUT	1010		PDI		WELOC2	PDI			11.11.2015	09:43:44			GECZYLA		20151111084339			C	1		S	M3	KG			0000000000		00000000000013939028						20151111081645	2000000113	LOCM	1000000024	        1	         1	  0,000	1,000	       0	       0	       0	      60	     60	       0		 1,918	      60	      60	1.093,100
	ST		T03564	20151111090918	DE	20151111085412				X				S15	04L105266B	A_001	ST	RLL1	00000000000013939067	LR02R00301	GLMR	REEG	ZIB1		PUT	1010		PDI		WELOC2				11.11.2015	10:09:18			GECZYLA		20151111090913			C	1		S	M3	KG			0000000000		00000000000013939067						20151111085409	2000000132	LOCM	1000000125	        1	         1	  0,000	1,000	       0	       0	       0	      64	     64	       0		 2,442	      64	      64	  957,360
	ST		T03564	20151111091218	DE	20151111085412				X				S15	04L105266B	A_001	ST	RLL1	00000000000013939070	LR02R00601	GLMR	REEG	ZIB1		PUT	1010		PDI		WELOC2				11.11.2015	10:12:18			GECZYLA		20151111091215			C	1		S	M3	KG			0000000000		00000000000013939070						20151111085409	2000000135	LOCM	1000000128	        1	         1	  0,000	1,000	       0	       0	       0	      64	     64	       0		 2,442	      64	      64	  957,360
	ST		T18780	20151112090316	DE	20151112090316	PDO		000000200000000006	X				S15	04L105266B	A_001	ST		00000000000013939067				ZOUT		LOAD	3070		PDO						12.11.2015	10:03:16				D	20151112090316			C	2		S	M3	KG			0000000000	0005	00000000000013939067	LMWALKWL05	LMWA				20151111085409	2000000173	LOCM	1000000193	        1	         1	  0,000	1,000	       0	       0	       0	      64	     64	       0		 2,442	      64	      64	  957,360
