INDEX,SID,DATAPAKID,RECORD,WM_LGNUM,OI_EBELN,OI_EBELP,WM_DOCNO,WM_ITEMNO,/BIC/GEWHUGUID,RECORDMODE,CALYEAR,CALMONTH,CALWEEK,CALDAY,WM_PRODNO,WM_HUIDENT,WM_DOCCAT,WM_DOCTYPE,WM_LGTYP,/BIC/GEWPWAGEN,/BIC/G0WM_TU_N,WM_TUSRACT,WM_LICNUM,WM_LGPLA,/BIC/GEWTSTP00,/BIC/GEWVBELN,/BIC/GEWTSTP10,/BIC/GEWSTAT10,/BIC/GEWTSTP20,/BIC/GEWSTAT20,/BIC/GEWTSTP30,/BIC/GEWSTAT30,/BIC/GEWTSTP40,/BIC/GEWSTAT40,/BIC/GEWTSTP45,/BIC/GEWSTAT45,/BIC/GEWTSTP50,/BIC/GEWSTAT50,/BIC/GEWTSTP60,/BIC/GEWSTAT60,/BIC/GEWTSTP65,/BIC/GEWSTAT65,/BIC/GEWTSTP70,/BIC/GEWSTAT70,/BIC/GEWTSTP75,/BIC/GEWSTAT75,/BIC/GEWTSTP80,/BIC/GEWSTAT80,/BIC/GEWTSTP90,/BIC/GEWSTAT90,/BIC/GEWTSTP95,/BIC/GEWSTAT95,/BIC/GEWSTAT15,/BIC/GEWSTAT99,/BIC/GEWSTATTL,/BIC/GEWLSTAT,WM_COUNT2,/BIC/GEW2030L,/BIC/GEW3040L,/BIC/GEW4045T,/BIC/GEW6565T,/BIC/GEW6575L,/BIC/GEW7080L,/BIC/GEW7575T,/BIC/GEW8090L,/BIC/GEW2080L,/BIC/GEWTST45L,/BIC/GEWTST65L,/BIC/GEWTST75L
1,67417,1,353,LOCM,5100043967,10,00000000000000000000000022000000376,10,00000000000000000000000000000000,,2016,201603,201609,2016-03-04,038105101AAROH,,PDO,ZLE1,GRS,,,0,,,20160304131233,,20160304131344,1,20160304131345,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,X,1,ST99,1,0,0,0,0,0,0,0,0,0,0,0,0
2,67417,1,352,LOCM,5100043966,10,00000000000000000000000022000000461,10,00000000000000000000000000000000,,2016,201603,201609,2016-03-04,038105101AAROH,,PDO,ZLE1,GRS,,,0,,,20160304131233,,20160304131345,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,1,0,0,0,0,0,0,0,0,0,0,0,0
3,67417,1,351,LOCM,5100043956,10,,0,00000000000000000000000000000000,,2016,201603,201609,2016-03-03,06H103023L,,,ZLC1,GRS,,,0,,,20160303152840,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,1,0,0,0,0,0,0,0,0,0,0,0,0
4,67417,1,350,LOCM,5100044910,10,00000000000000000000000022000000525,10,00000000000000000000000000000000,,2016,201605,201618,2016-05-02,03C105266L,,PDO,ZLE1,GKR,,,0,,,20160502131546,,20160502131719,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,1,0,0,0,0,0,0,0,0,0,0,0,0
5,67417,1,349,LOCM,5100044909,10,00000000000000000000000022000000623,10,00000000000000000000000000000000,,2016,201605,201618,2016-05-02,03C105266L,,PDO,ZLE1,GKR,,,0,,,20160502131539,,20160502131719,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,1,0,0,0,0,0,0,0,0,0,0,0,0
6,67417,1,348,LOCM,5100044139,10,00000000000000000000000022000000450,10,00000000000000000000000000000000,,2016,201603,201609,2016-03-03,038105101AAROH,,PDO,ZLE1,GRS,,,0,,,20160303152250,,20160303152325,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,1,0,0,0,0,0,0,0,0,0,0,0,0
7,67417,1,347,LOCM,5100044113,10,00000000000000000000000022000000445,10,00000000000000000000000000000000,,2016,201603,201609,2016-03-03,038105101AAROH,,PDO,ZLE1,GRS,,,0,,,20160303152243,,20160303152319,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,1,0,0,0,0,0,0,0,0,0,0,0,0
8,67417,1,346,LOCM,5100044140,10,00000000000000000000000022000000454,10,00000000000000000000000000000000,,2016,201603,201609,2016-03-03,038105101AAROH,,PDO,ZLE1,GRS,,,0,,,20160303152250,,20160303152325,3,20160303152820,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,X,1,ST99,1,0,0,0,0,0,0,0,0,0,0,0,0
9,67417,1,345,LOCM,5100044138,10,00000000000000000000000022000000451,10,00000000000000000000000000000000,,2016,201603,201609,2016-03-03,038105101AAROH,,PDO,ZLE1,GRS,,,0,,,20160303152250,,20160303152325,3,20160303152820,1,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,X,1,ST99,1,0,0,0,0,0,0,0,0,0,0,0,0
10,67417,1,344,LOCM,5100044137,10,00000000000000000000000022000000452,10,00000000000000000000000000000000,,2016,201603,201609,2016-03-03,038105101AAROH,,PDO,ZLE1,GRS,,,0,,,20160303152250,,20160303152325,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST10,1,0,0,0,0,0,0,0,0,0,0,0,0
