INDEX,CHNGID,RECORDTP,REQUID,WM_COUNT2,/BIC/G0WM_TU_N,CALWEEK,/BIC/GEWLSTAT,CALDAY,CALMONTH,CALYEAR,WEEKDAY1,WM_MATNR,WM_LICNUM,WM_VLTYP,WM_NLTYP,WM_VLPLA,/BIC/GEWVOND,/BIC/GEWVONZ,/BIC/GEWKPI,WM_NLENR,/BIC/GEWZEITD,/BIC/GEWBISD,/BIC/GEWBISZ,/BIC/GEWERSTAT,RECORD
1,0,0,,1,000000200000000003,201546,,2015-11-12,201511,2015,4,06K103403S,SZANDIKA,,,,2015-11-11,15:26:44,KPI11,00000000000013939015,20151112132700,2015-11-12,14:27:00,,1
2,0,0,,1,000000200000000003,201546,,2015-11-11,201511,2015,3,06K103403S,SZANDIKA,,,,2015-11-11,15:26:44,KPI3,00000000000013939015,20151111153554,2015-11-11,16:35:54,,2
3,0,0,,1,000000200000000003,201546,,2015-11-11,201511,2015,3,06K103403S,SZANDIKA,,,,2015-11-11,16:35:54,KPI4,00000000000013939015,20151111154123,2015-11-11,16:41:23,,3
4,0,0,,1,000000200000000003,201546,,2015-11-11,201511,2015,3,06K103403S,SZANDIKA,,,,2015-11-11,16:41:23,KPI5,00000000000013939015,20151111154149,2015-11-11,16:41:49,,4
5,0,0,,1,000000200000000003,201546,,2015-11-12,201511,2015,4,06K103403S,SZANDIKA,,,,2015-11-12,14:23:38,KPI6,00000000000013939015,20151112132433,2015-11-12,14:23:38,,5
6,0,0,,1,000000200000000003,201546,,2015-11-12,201511,2015,4,06K103403S,SZANDIKA,,,,2015-11-12,14:23:38,KPI7,00000000000013939015,20151112132618,2015-11-12,14:26:18,,6
7,0,0,,1,000000200000000003,201546,,2015-11-12,201511,2015,4,06K103403S,SZANDIKA,,,,2015-11-12,14:23:39,KPI9,00000000000013939015,20151112132700,2015-11-12,14:27:00,,7
8,0,0,,1,000000200000000003,201546,ST80,2015-11-11,201511,2015,3,06K103403S,SZANDIKA,,,,,00:00:00,KPI51,00000000000013939015,0,,00:00:00,3,8
9,0,0,,1,000000200000000003,201546,,2015-11-12,201511,2015,4,06H103023S,SZANDIKA,,,,2015-11-11,15:29:06,KPI11,00000000000013939037,20151112132659,2015-11-12,14:26:59,,9
10,0,0,,1,000000200000000003,201546,,2015-11-11,201511,2015,3,06H103023S,SZANDIKA,,,,2015-11-11,15:29:06,KPI3,00000000000013939037,20151111153641,2015-11-11,16:36:41,,10
11,0,0,,1,000000200000000003,201546,,2015-11-11,201511,2015,3,06H103023S,SZANDIKA,,,,2015-11-11,16:36:41,KPI4,00000000000013939037,20151111154145,2015-11-11,16:41:45,,11
12,0,0,,1,000000200000000003,201546,,2015-11-11,201511,2015,3,06H103023S,SZANDIKA,,,,2015-11-11,16:41:45,KPI5,00000000000013939037,20151111154149,2015-11-11,16:41:49,,12
13,0,0,,1,000000200000000003,201546,,2015-11-12,201511,2015,4,06H103023S,SZANDIKA,,,,2015-11-12,14:24:33,KPI6,00000000000013939037,20151112132433,2015-11-12,14:24:33,,13
14,0,0,,1,000000200000000003,201546,,2015-11-12,201511,2015,4,06H103023S,SZANDIKA,,,,2015-11-12,14:24:33,KPI7,00000000000013939037,20151112132615,2015-11-12,14:26:15,,14
15,0,0,,1,000000200000000003,201546,,2015-11-12,201511,2015,4,06H103023S,SZANDIKA,,,,2015-11-12,14:24:33,KPI9,00000000000013939037,20151112132659,2015-11-12,14:26:59,,15
16,0,0,,1,000000200000000003,201546,ST80,2015-11-11,201511,2015,3,06H103023S,SZANDIKA,,,,,00:00:00,KPI51,00000000000013939037,0,,00:00:00,3,16
17,0,0,,1,000000200000000003,201546,,2015-11-11,201511,2015,3,04L105266B,SZANDIKA,,,,2015-11-11,15:31:08,KPI3,00000000000013939019,20151111153707,2015-11-11,16:37:07,,17
18,0,0,,1,000000200000000003,201546,,2015-11-11,201511,2015,3,04L105266B,SZANDIKA,,,,2015-11-11,16:37:07,KPI4,00000000000013939019,20151111154133,2015-11-11,16:41:33,,18
19,0,0,,1,000000200000000003,201546,,2015-11-11,201511,2015,3,04L105266B,SZANDIKA,,,,2015-11-11,16:41:33,KPI5,00000000000013939019,20151111154149,2015-11-11,16:41:49,,19
