INDEX,/BIC/GEWTST75L,WM_LGNUM,OI_EBELN,OI_EBELP,WM_DOCNO,WM_ITEMNO,/BIC/GEWHUGUID,RECORDMODE,CALYEAR,CALMONTH,CALWEEK,CALDAY,WEEKDAY1,WM_PRODNO,WM_HUIDENT,/BIC/GEWPWAGEN,/BIC/G0WM_TU_N,WM_TUSRACT,WM_LICNUM,WM_LGPLA,/BIC/GEWTSTP00,/BIC/GEWVBELN,/BIC/GEWTSTP10,/BIC/GEWSTAT10,/BIC/GEWTSTP20,/BIC/GEWSTAT20,/BIC/GEWTSTP30,/BIC/GEWSTAT30,/BIC/GEWTSTP40,/BIC/GEWSTAT40,/BIC/GEWTSTP45,/BIC/GEWSTAT45,/BIC/GEWTSTP50,/BIC/GEWSTAT50,/BIC/GEWTSTP60,/BIC/GEWSTAT60,/BIC/GEWTSTP65,/BIC/GEWSTAT65,/BIC/GEWTSTP70,/BIC/GEWSTAT70,/BIC/GEWTSTP75,/BIC/GEWSTAT75,/BIC/GEWTSTP80,/BIC/GEWSTAT80,/BIC/GEWTSTP90,/BIC/GEWSTAT90,/BIC/GEWTSTP95,/BIC/GEWSTAT95,/BIC/GEWSTAT15,/BIC/GEWSTAT99,/BIC/GEWSTATTL,/BIC/GEWLSTAT,/BIC/GEWTSTPUP,WM_COUNT2,/BIC/GEW2030L,/BIC/GEW3040L,/BIC/GEW4045T,/BIC/GEW6565T,/BIC/GEW6575L,/BIC/GEW7080L,/BIC/GEW7575T,/BIC/GEW8090L,/BIC/GEW2080L,/BIC/GEWTST45L,/BIC/GEWTST65L,RECORD
1,0,LOCM,5100043001,10,00000000000000000000000021000000010,10,00000000000000000000000000000000,,2015,201511,201546,2015-11-11,3,079103374BGROH,,,,0,,,20151111054131,,20151111054216,3,20151111054217,3,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,X,1,ST99,20160331142738,1,0,0,0,0,0,0,0,0,0,0,0,1
2,20151112132618,LOCM,5100043002,10,00000000000000000000000021000000017,10,0A63B21C04021ED5A2889DC652134A9E,,2015,201511,201546,2015-11-11,3,06K103403S,00000000000013939015,PLAT000094,000000200000000003,5,SZANDIKA,LMWALKWL02,20151111142537,0189592956,20151111142644,3,20151111142644,3,20151111153554,1,20151111154123,1,20151111154149,3,20151111154149,3,20151112132338,1,20151112132338,3,20151112132339,3,20151112132618,3,20151112132700,3,0,,0,,,,1,ST80,20151112132741,1,4150,329,26,55,160,201,0,0,82816,20151111154149,20151112132433,2
3,20151112132618,LOCM,5100043003,10,00000000000000000000000021000000109,10,0A63B21C04021EE5A2896E5277419E62,,2015,201511,201546,2015-11-11,3,06H103023S,00000000000013939037,PLAT000094,000000200000000003,5,SZANDIKA,LMWALKWL02,20151111142802,0189592958,20151111142905,3,20151111142906,3,20151111153641,1,20151111154145,1,20151111154149,3,20151111154149,3,20151112132433,1,20151112132433,3,20151112132433,3,20151112132615,3,20151112132659,3,0,,0,,,,1,ST80,20151112132741,1,4055,304,26,55,102,146,0,0,82673,20151111154149,20151112132433,3
4,20151112132618,LOCM,5100043004,10,00000000000000000000000021000000110,10,0A63B21C04021ED5A288B21D0DEB05A3,,2015,201511,201546,2015-11-11,3,04L105266B,00000000000013939019,,000000200000000003,5,SZANDIKA,LMWALKWL02,20151111143057,0189592957,20151111143107,3,20151111143108,3,20151111153707,1,20151111154133,2,20151111154149,3,20151111154149,3,20151112132429,1,20151112132429,3,20151112132430,3,0,,0,,0,,0,,,,1,ST70,20151112132441,1,3959,266,26,55,0,0,0,0,0,20151111154149,20151112132433,4
5,0,LOCM,5100043005,10,00000000000000000000000021000000119,10,AE2340D55A031ED5A2A3714098FE1253,,2015,201511,201546,2015-11-12,4,03L141016S,00000000000013939095,,000000200000000007,13,ZUI-322,LMWALKWL06,20151112090639,0189592981,20151112090723,3,20151112090723,3,20151112092737,1,20151112092911,3,20151112092927,3,20151112092927,3,20151112094955,1,20151112094955,3,20151112094955,3,0,,0,,0,,0,,,,1,ST70,20151112100640,1,1214,94,16,0,0,0,0,0,0,20151112092927,20151112094955,5
6,0,LOCM,5100043006,10,00000000000000000000000021000000025,10,0A63B21C04021ED5A1F6E4A4AEEE4193,,2015,201511,201546,2015-11-12,4,03C105266F,00000000000013939009,,000000200000000052,23,,LMWALKWR02,20151112121658,,20151112121948,3,20151112123901,1,20151112124444,1,20151112132010,1,20151112131940,3,20151112132010,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20151112132041,1,343,2126,-30,0,0,0,0,0,0,20151112131940,0,6
7,0,LOCM,5100043007,10,00000000000000000000000021000000026,10,0A63B21C04021ED5A1F6E4A4A1528193,,2015,201511,201546,2015-11-12,4,03C105266F,00000000000013939008,,000000200000000052,23,,LMWALKWR02,20151112121659,,20151112121948,3,20151112123403,1,20151112124214,1,20151112132010,1,20151112131940,3,20151112132010,3,0,,0,,0,,0,,0,,0,,0,,,,1,ST50,20151112132041,1,491,2276,-30,0,0,0,0,0,0,20151112131940,0,7
8,0,LOCM,5100043008,10,00000000000000000000000021000000203,10,0A63B21C04021ED5A3A44D936D999500,,2015,201511,201546,2015-11-12,4,06E103023BB,00000000001000000100,,000000200000000025,129,LKW-001,LMWALKWL06,20151112134838,0189593291,20151125153823,1,20151125153824,3,20151125170056,1,20151126125006,1,20151126125014,3,20151126125014,3,20151202102900,1,20151202102900,3,20151202102900,3,0,,0,,0,,0,,,,1,ST70,20151202102934,1,4952,71350,57,32,0,0,0,0,0,20151126125014,20151202102900,8
9,0,LOCM,5100043008,10,00000000000000000000000021000000203,10,AE2340D55A031ED5A3A4187CF58A9253,,2015,201511,201546,2015-11-12,4,06E103023BB,00000000000013939387,,000000200000000025,129,LKW-001,LMWALKWL06,20151112134838,,20151125153823,1,20151125153824,3,20151125170137,1,20151126124917,1,20151126125014,3,20151126125014,3,20151202102828,1,20151202102828,3,20151202102828,3,0,,0,,0,,0,,,,1,ST70,20151206132542,1,4993,71260,57,32,0,0,0,0,0,20151126125014,20151202102900,9
10,0,LOCM,5100043009,10,,0,00000000000000000000000000000000,,2015,201511,201546,2015-11-12,4,06E103023BG,,,,0,,,20151112140900,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151112150942,1,0,0,0,0,0,0,0,0,0,0,0,10
11,0,LOCM,5100043010,10,,0,00000000000000000000000000000000,,2015,201511,201546,2015-11-12,4,06E103023BG,,,,0,,,20151112140901,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151112150942,1,0,0,0,0,0,0,0,0,0,0,0,11
12,0,LOCM,5100043011,10,,0,00000000000000000000000000000000,,2015,201511,201546,2015-11-12,4,06E103023BG,,,,0,,,20151112140901,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151112150942,1,0,0,0,0,0,0,0,0,0,0,0,12
13,0,LOCM,5100043012,10,,0,00000000000000000000000000000000,,2015,201511,201546,2015-11-13,5,06F141015,,,,0,,,20151113085749,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,1,ST00,20151113092246,1,0,0,0,0,0,0,0,0,0,0,0,13
